fecha,pelicula,hora,sala,total,ocupadas,libres,ocupacion
2026-03-18,,22:05,,207.0,1.0,206.0,0.48
2026-03-18,Torrente Presidente,16:00,11.0,397.0,180.0,217.0,45.34
2026-03-18,Torrente Presidente,16:30,12.0,414.0,96.0,318.0,23.19
2026-03-18,Hoppers,16:00,9.0,400.0,86.0,314.0,21.5
2026-03-18,VOSE Batman Begins,16:30,10.0,342.0,6.0,336.0,1.75
2026-03-18,Marty Supreme,16:00,2.0,207.0,5.0,202.0,2.42
2026-03-18,VOSE El Testamento de Ann Lee,16:00,5.0,315.0,4.0,311.0,1.27
2026-03-18,¡La Novia!,16:00,6.0,320.0,5.0,315.0,1.56
2026-03-18,Parecido a un asesinato,16:00,3.0,210.0,4.0,206.0,1.9
2026-03-18,La buena letra,16:00,1.0,207.0,4.0,203.0,1.93
2026-03-18,Torrente Presidente,18:15,11.0,397.0,281.0,116.0,70.78
2026-03-18,Torrente Presidente,18:45,12.0,414.0,105.0,309.0,25.36
2026-03-18,Hoppers,17:30,4.0,160.0,47.0,113.0,29.38
2026-03-18,Cumbres Borrascosas,17:00,8.0,318.0,29.0,289.0,9.12
2026-03-18,Scream 7,18:15,9.0,400.0,12.0,388.0,3.0
2026-03-18,Hamnet,17:00,7.0,318.0,24.0,294.0,7.55
2026-03-18,Una Batalla tras Otra,18:30,3.0,210.0,9.0,201.0,4.29
2026-03-18,El Testamento de Ann Lee,18:45,5.0,315.0,0.0,315.0,0.0
2026-03-18,¡La Novia!,18:30,6.0,320.0,2.0,318.0,0.62
2026-03-18,La Asistenta,18:15,1.0,207.0,8.0,199.0,3.86
2026-03-18,Cumbres Borrascosas,19:45,8.0,318.0,8.0,310.0,2.52
2026-03-18,VOSE El Caballero Oscuro,19:30,10.0,342.0,12.0,330.0,3.51
2026-03-18,Hamnet,20:00,7.0,318.0,7.0,311.0,2.2
2026-03-18,Greenland 2,19:00,2.0,207.0,23.0,184.0,11.11
2026-03-18,Avatar: fuego y ceniza,19:45,4.0,160.0,26.0,134.0,16.25
2026-03-18,Torrente Presidente,20:30,11.0,397.0,184.0,213.0,46.35
2026-03-18,Torrente Presidente,21:00,12.0,414.0,161.0,253.0,38.89
2026-03-18,Scream 7,20:40,9.0,400.0,6.0,394.0,1.5
2026-03-18,El Testamento de Ann Lee,20:50,1.0,207.0,2.0,205.0,0.97
2026-03-18,Ruta de Escape,21:00,6.0,320.0,11.0,309.0,3.44
2026-03-18,La buena letra,21:05,2.0,207.0,0.0,207.0,0.0
2026-03-18,Parecido a un asesinato,21:30,5.0,315.0,3.0,312.0,0.95
